mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
25.6,4,240.8,144,2832,18.2,72,1,Car_001
34.4,8,411.6,140,2344,15.9,79,1,Car_002
12.9,6,392.2,210,4301,14.5,76,3,Car_003
19.9,5,322.4,170,3244,16.9,76,1,Car_004
39.9,4,253.9,79,1500,17.4,70,1,Car_005
29.3,4,243.8,143,2931,12.5,81,2,Car_006
29.4,4,266.5,141,2337,16.2,78,2,Car_007
16.8,8,452.8,191,3397,16.4,71,3,Car_008
28.9,6,333.2,150,2245,14.4,74,1,Car_009
33.6,6,361.2,140,2720,17.8,82,1,Car_010
25.2,4,247.6,166,3153,14.7,74,2,Car_011
22.4,8,465,222,3406,15.3,77,3,Car_012
38.7,6,329.3,89,1960,14.7,77,2,Car_013
32.6,4,263.2,123,2566,15,76,2,Car_014
27.4,4,256.3,139,2468,12.8,76,1,Car_015
36.2,4,296,123,2343,12.1,81,3,Car_016
16.2,4,282.6,199,4036,18.2,80,1,Car_017
21.1,5,302.5,154,3083,13.3,75,1,Car_018
36.8,4,222.3,110,1917,13,75,2,Car_019
25.4,4,267.2,167,3443,10.7,80,1,Car_020
11.2,6,379.7,237,4286,13.7,78,1,Car_021
22.2,4,304.4,177,3523,12.4,75,3,Car_022
36.2,4,258,107,1736,18.3,81,2,Car_023
38.7,4,238.9,124,2461,17,82,3,Car_024
20.3,4,268.7,172,3687,13.6,82,1,Car_025
29.3,6,345.3,134,2305,19.5,71,3,Car_026
20.2,4,257.8,162,3111,17,71,1,Car_027
21.3,4,288.2,159,3342,14.4,82,1,Car_028
35.9,5,290.5,130,2151,10,74,3,Car_029
25.2,4,228.5,173,2758,19.6,73,3,Car_030
40.3,6,343.8,121,1500,12.2,80,2,Car_031
31.7,4,275.4,110,2083,11.7,71,1,Car_032
29.8,4,242.7,155,2623,17,72,3,Car_033
35.7,8,407.3,135,1927,19.9,76,2,Car_034
14.2,8,478.4,191,3943,17.8,77,3,Car_035
42.6,6,328.1,105,1799,16.1,81,3,Car_036
32.6,4,264.4,104,2492,16.2,82,1,Car_037
21.2,4,302.8,142,2892,16.7,75,1,Car_038
21.1,6,375.3,201,3809,16.5,80,2,Car_039
35.8,4,215.3,129,1795,15.6,74,1,Car_040
20.6,4,255.7,181,3614,15.2,82,1,Car_041
25.1,4,245.6,141,2807,14.9,70,3,Car_042
37.5,4,239.7,129,2113,13.5,77,2,Car_043
29.5,8,485.1,156,3123,14.4,72,3,Car_044
26.4,4,253.6,153,2939,11.6,75,2,Car_045
26.5,6,342.5,155,2380,14.8,72,2,Car_046
27.1,4,261.1,124,2849,13,76,1,Car_047
32,5,321.1,158,2530,12.8,82,1,Car_048
20.4,5,357.8,160,2879,15.4,76,1,Car_049
25.3,4,262.6,156,3263,17.8,81,1,Car_050
16.5,8,461.9,230,3910,16.8,78,3,Car_051
34.7,6,346.1,159,1934,11.9,74,1,Car_052
12.9,8,496.3,238,4293,13,77,2,Car_053
40.1,8,439.8,128,1500,16.9,79,1,Car_054
32.3,5,313.6,141,2694,13,79,1,Car_055
25.8,8,444.6,180,3212,14.6,77,1,Car_056
21,4,277.4,164,2997,16.1,70,1,Car_057
35.3,4,269.7,114,2364,13.1,81,1,Car_058
23.6,4,272.2,139,2654,15.2,74,1,Car_059
25.8,4,260.3,123,2455,12.3,72,1,Car_060
27.9,4,269.5,135,2387,13.8,70,3,Car_061
17.7,4,300.4,173,3395,15.6,73,1,Car_062
20.6,6,384.8,186,3050,11.8,77,1,Car_063
31.1,4,259.1,117,2315,15.9,72,2,Car_064
20.9,4,274.6,165,3430,15,79,1,Car_065
26.4,5,314.1,146,3015,16.1,71,3,Car_066
23.1,4,300.4,160,3369,15.4,80,2,Car_067
17.2,6,346.3,183,3241,17.7,78,1,Car_068
34.9,4,250.8,132,2220,15.3,79,2,Car_069
28.8,8,420.9,146,2408,14.1,74,1,Car_070
18.8,6,365.5,194,3323,15.2,76,2,Car_071
23.2,4,297.8,181,3227,16.1,80,1,Car_072
28.8,3,218.4,142,2785,15.1,80,3,Car_073
21.5,6,353.3,191,2882,15.1,71,1,Car_074
24.2,6,348.4,184,3694,13.6,78,2,Car_075
31.6,6,353.1,125,2386,13.7,82,2,Car_076
23.2,6,373.9,149,3183,12.2,78,1,Car_077
24.1,4,299.2,161,2658,18.5,73,1,Car_078
27.4,4,249.5,148,2648,12.5,73,3,Car_079
22.1,4,286.4,174,3569,13.6,75,3,Car_080
21.1,8,461.5,203,3378,13.6,79,1,Car_081
25.9,6,397.8,166,3369,16.8,79,3,Car_082
18.5,4,284.2,217,3714,14.4,79,3,Car_083
25.3,4,266,147,2815,17.5,75,3,Car_084
21.8,4,285.8,165,3277,13.7,81,1,Car_085
28.8,4,257.5,146,2583,15.6,70,3,Car_086
24.3,6,347.6,176,3027,13.3,78,1,Car_087
28.6,6,351.3,160,2709,19.3,71,3,Car_088
25.4,8,463.4,167,2868,12.6,74,2,Car_089
20.5,4,251.4,168,3217,15.6,78,1,Car_090
30.6,4,246.3,149,2227,16.3,73,3,Car_091
12.3,6,377.8,239,4265,15.8,80,1,Car_092
33.3,6,353.8,156,2096,14.6,72,3,Car_093
39.3,5,250.3,110,1950,14.7,76,3,Car_094
16.4,6,362,178,3611,15.1,75,2,Car_095
19,4,283.4,164,3354,14.7,77,1,Car_096
20.2,5,348.8,170,3237,16.9,72,2,Car_097
23,4,271.3,178,3240,19.4,74,1,Car_098
28.3,4,248.7,118,2791,13.9,79,1,Car_099
33.4,4,279.7,142,2172,12.3,73,3,Car_100
30.1,4,232.6,144,2853,14.8,82,1,Car_101
31.2,6,292.5,135,2326,20.2,73,1,Car_102
24.1,4,288.3,156,3483,13.4,73,3,Car_103
33.8,4,247,115,2697,18.3,79,1,Car_104
29.6,8,403.1,165,2222,18.4,77,1,Car_105
26.3,4,267.7,136,2575,13.9,75,3,Car_106
21.3,4,273.1,136,3089,16.1,72,1,Car_107
34.7,6,327.4,125,2405,18.3,79,3,Car_108
33.3,4,217.9,116,2224,14.2,74,3,Car_109
28.9,4,282.3,176,2971,14.6,75,3,Car_110
25.1,4,277.9,147,2971,13.8,74,2,Car_111
32.5,4,247.9,107,2445,13,75,1,Car_112
29.5,8,467.5,159,2470,13.7,77,1,Car_113
25.6,6,333.2,162,2962,12.6,76,3,Car_114
35.9,6,290.5,79,1786,15.1,74,3,Car_115
37.7,8,398,136,1815,13.5,79,2,Car_116
37.3,6,334.7,136,2297,15.5,75,1,Car_117
23.7,4,260.6,148,2651,11.9,73,1,Car_118
19.9,8,441.4,212,3018,15.7,81,1,Car_119
21.3,5,341.5,210,3833,16.7,78,3,Car_120
24.1,6,342.1,180,3400,11,82,1,Car_121
27.9,8,465.7,155,2688,15.7,73,3,Car_122
26.4,4,258,182,2787,17.5,70,3,Car_123
32.4,4,262.3,117,2098,12.6,76,1,Car_124
27.6,4,266.5,144,2787,18.3,76,2,Car_125
29.2,4,263.4,136,2598,15.8,73,1,Car_126
31.4,6,367.8,172,3026,13.6,82,2,Car_127
28.8,8,432.4,151,2221,14.9,72,3,Car_128
28.8,3,238.2,142,3164,16.1,77,3,Car_129
17.6,4,317.2,179,3873,15.2,74,3,Car_130
29.3,4,261.8,140,2724,16.1,79,1,Car_131
24.1,4,282.2,147,3081,13.2,76,1,Car_132
19.9,4,272,153,3283,15.3,73,3,Car_133
30,4,280.8,134,2519,12.2,73,1,Car_134
22.4,8,431,178,2957,14.8,77,1,Car_135
23.7,4,296.3,167,2809,13.2,77,1,Car_136
28.4,4,261.2,107,2868,13.5,71,2,Car_137
29.7,6,305.9,155,2259,17.5,71,1,Car_138
24.6,4,263.1,163,2817,17.2,72,2,Car_139
29.6,8,436.3,159,3149,16.2,81,3,Car_140
19.8,8,485.8,211,3816,12.8,81,1,Car_141
20.5,4,266.1,165,3471,14.4,72,1,Car_142
8,4,294.1,183,4307,17.4,70,1,Car_143
35,4,206.9,111,2263,15.3,72,3,Car_144
21.1,4,268.4,152,3411,19.6,75,1,Car_145
27.8,4,215.2,175,2928,15.8,77,1,Car_146
11.6,6,362.1,235,4333,15.4,82,1,Car_147
35.4,4,259,140,2234,14.4,81,3,Car_148
32.5,4,258.9,131,2212,15.3,79,1,Car_149
33.9,4,256.5,110,2380,14.7,75,3,Car_150
41,8,383.5,116,1500,16.4,74,3,Car_151
29.6,4,248.5,137,2432,16.9,73,1,Car_152
34,4,244.7,104,2269,13.4,72,3,Car_153
29.3,4,239.8,159,2905,12.3,82,1,Car_154
22.6,8,476.9,182,3039,11.3,73,3,Car_155
12.4,4,315.1,191,4113,16,76,2,Car_156
15.2,6,364.6,197,3465,12.8,70,3,Car_157
31.6,6,339,151,2396,10.7,76,1,Car_158
31.5,4,246.2,113,2171,15.8,70,1,Car_159
15,6,319,191,3144,20,71,1,Car_160
38,4,228.7,91,1876,15,73,1,Car_161
12.5,6,373,221,4082,16.7,70,1,Car_162
17.1,6,353.6,202,3626,15.2,80,1,Car_163
33.1,5,290,134,2472,14.8,81,1,Car_164
40.1,4,261.7,101,1601,16.8,80,1,Car_165
22.1,6,389.9,179,3748,14.4,80,3,Car_166
26.4,4,246.3,155,2720,15.5,78,2,Car_167
20,4,296.2,176,3666,15.6,81,1,Car_168
40.3,4,256.1,92,1684,13.7,75,1,Car_169
35.2,5,311.5,151,2380,17,82,1,Car_170
26.2,6,351.3,150,2804,14.7,70,3,Car_171
24.3,3,203,116,2833,13.5,70,1,Car_172
29.6,4,265,108,2485,16.1,75,3,Car_173
20.5,4,280.3,171,3236,13.2,73,3,Car_174
34.3,6,346.6,111,2053,15.1,73,3,Car_175
27.9,4,269.9,166,2700,15,80,2,Car_176
28.2,6,373.4,132,2884,17.2,75,3,Car_177
25.3,4,259.6,184,3160,15.9,81,3,Car_178
22.8,8,480.6,199,3298,14.9,80,2,Car_179
38.5,4,241.5,111,2013,16.6,76,2,Car_180
39.6,4,270.8,93,1726,17.8,78,2,Car_181
