date_list,image_list,title_list,para_list
"June 10, 2026",https://newbusinessethiopia.com/wp-content/uploads/2026/06/IFC-to-Lend-80-Million-to-MIDROC-Ethiopias-Hotel-Development-174x100.gif,IFC to Lend $80 Million to MIDROC Ethiopia’s Hotel Development,"IFC to Lend $80 Million to MIDROC Ethiopia’s Hotel Development


                            June 10, 2026                        

                            The International Finance Corporation (IFC) is set to provide 80 million loan to MIDROC Ethiopia PLC (MEP), the hospitality arm of MIDROC Investment Group (MIG),"
"July 8, 2025",https://newbusinessethiopia.com/wp-content/uploads/2025/07/ILTM-Africa-opens-doors-to-inbound-outbound-luxury-travel-148x100.png,"ILTM Africa opens doors to inbound, outbound luxury travel","ILTM Africa opens doors to inbound, outbound luxury travel


                            July 8, 2025                        

                            ILTM (Invitation-only Luxury Travel Market) Africa today announced a major expansion for its 2026 event, becoming the first luxury travel marketplace on the continent to serve both inbound and dedicated outbound opportunities…"
"June 18, 2025",https://newbusinessethiopia.com/wp-content/uploads/2025/06/Marriott-to-expand-its-hospitality-business-in-Africa-150x84.jpeg,Marriott to expand its hospitality business in Africa,"Marriott to expand its hospitality business in Africa


                            June 18, 2025                        

                            Marriott International Inc. (Nasdaq: MAR) today announced plans to expand its operations in Africa with the anticipated addition of over 50 properties and more than 9,000 rooms by the end of 2027."
"May 6, 2025",https://newbusinessethiopia.com/wp-content/uploads/2025/05/Cape-Town-to-host-continental-hospitality-investment-summit-150x83.png,Cape Town to host continental hospitality investment summit,"Cape Town to host continental hospitality investment summit


                            May 6, 2025                        

                            Future Hospitality Summit (FHS) Africa 2025 is set to be hosted in Cape Town, South Africa from 17–19 June 2025, bringing together the most influential voices in hospitality investment, development, and sustainability…"
"April 28, 2025",https://newbusinessethiopia.com/wp-content/uploads/2025/04/Marriott-to-acquire-lifestyle-brand-citizenM-112x100.png,Marriott to acquire lifestyle brand – citizenM,"Marriott to acquire lifestyle brand – citizenM


                            April 28, 2025                        

                            Today, Marriott International announced it has reached an agreement to acquire the lifestyle brand citizenM, a unique and innovative offering in the select-service segment."
"April 3, 2025",https://newbusinessethiopia.com/wp-content/uploads/2025/04/Sheraton-Dakar-opens-Four-Points-150x95.png,Sheraton Dakar opens Four Points,"Sheraton Dakar opens Four Points


                            April 3, 2025                        

                            Four Points by Sheraton, part of Marriott Bonvoy’s global portfolio of over 30 brands, today announced the opening Four Points by Sheraton Dakar Diamniadio, marking the brand’s debut in Senegal."
"February 26, 2025",https://newbusinessethiopia.com/wp-content/uploads/2025/02/Aleph-Hospitality-expands-presence-in-Ghana-148x100.png,Aleph Hospitality expands presence in Ghana,"Aleph Hospitality expands presence in Ghana


                            February 26, 2025                        

                            Aleph Hospitality, one of the largest independent hospitality management companies in the Middle East and Africa, is set to expand its footprint in Ghana with the addition of The Address, a landmark…"
"November 20, 2024",https://newbusinessethiopia.com/wp-content/uploads/2024/11/Aleph-Hospitality-announces-two-luxury-resorts-in-Morocco-150x89.png,Aleph Hospitality announces two luxury resorts in Morocco,"Aleph Hospitality announces two luxury resorts in Morocco


                            November 20, 2024                        

                            Aleph Hospitality, the first and largest independent hospitality management company in the Middle East and Africa, has signed management agreements with the owners of two luxury resorts: Marchica Lagoon Resort in Nador…"
"October 9, 2024",https://newbusinessethiopia.com/wp-content/uploads/2024/10/Cape-Town-set-to-host-international-luxury-travel-event-133x100.jpeg,Cape Town set to host international luxury travel event,"Cape Town set to host international luxury travel event


                            October 9, 2024                        

                            International Luxury Travel Market Africa (ILTMA) announces that its 2025 event, themed ‘Ignite Africa with Luxury Travel’, will be held at the prestigious Norval Foundation in Cape Town from 06 to 08…"
"October 8, 2024",https://newbusinessethiopia.com/wp-content/uploads/2024/10/Protea-Hotels-by-Marriott-expands-footprint-in-Africa-150x92.jpeg,Protea Hotels by Marriott expands footprint in Africa,"Protea Hotels by Marriott expands footprint in Africa


                            October 8, 2024                        

                            Protea Hotels by Marriott, part of Marriott Bonvoy’s global portfolio of over 30 brands, today announced the opening of two new hotels in Africa: Protea by Marriott Delta in Nigeria and Protea…"
