,Title-List,Image-List,Date-List,Para-List
0,Africa’s Critical Minerals: Strategic Opportunities and Supply Chain Risks,https://newbusinessethiopia.com/wp-content/uploads/2026/04/Africas-Critical-Minerals-Strategic-Opportunities-and-Supply-Chain-Risks-150x98.gif,"April 4, 2026","Africa’s Critical Minerals: Strategic Opportunities and Supply Chain Risks


                            April 4, 2026                        

                            By Africa Risk Control / ANALYSIS – Africa is increasingly becoming central to one of the most consequential economic transformations of the 21st century: the global transition toward clean energy, digital technologies,…"
1,Ethiopia Secures $3.5 Billion from Minerals Export,https://newbusinessethiopia.com/wp-content/uploads/2026/03/Ethiopia-Secures-3.5-Billion-from-Minerals-Export-140x100.gif,"March 27, 2026","Ethiopia Secures $3.5 Billion from Minerals Export


                            March 27, 2026                        

                            The Government of Ethiopia has secured over $3.5 billion revenue from minerals export was over the past 8 months, says the Ministry of Mines of the country."
2,"Ethiopia Issues Gold, Iron, Potash Mining Production Licenses Worth $2 Billion Investment",https://newbusinessethiopia.com/wp-content/uploads/2026/03/Ethiopia-Issues-Gold-Iron-Potash-Mining-Production-Licenses-Worth-2-Billion-Investment-150x91.gif,"March 13, 2026","Ethiopia Issues Gold, Iron, Potash Mining Production Licenses Worth $2 Billion Investment


                            March 13, 2026                        

                            The Ministry of Mines today issued gold, iron and potash mining production licenses to three companies that will engage in various mining productions with an investment cost of two billion dollars."
3,Ethiopia’s Gambella Gold Production up 35 Percent,https://newbusinessethiopia.com/wp-content/uploads/2026/03/Ethiopias-Gambella-Gold-Production-up-35-Percent-150x100.gif,"March 11, 2026","Ethiopia’s Gambella Gold Production up 35 Percent


                            March 11, 2026                        

                            The Gambella Region of Ethiopia announced that in the past seven months the region has produced more than 4,488 kilograms of refined gold (up 35 percent from last year same period) and…"
4,Green Energy Transition Minerals Mining Not Major Source of Greenhouse Gas,https://newbusinessethiopia.com/wp-content/uploads/2026/03/Green-Energy-Transition-Minerals-Mining-Not-Major-Source-of-Greenhouse-Gas-150x100.png,"March 10, 2026","Green Energy Transition Minerals Mining Not Major Source of Greenhouse Gas


                            March 10, 2026                        

                            Today, ICMM publishes its new Global Mining & Metals Greenhouse Gas (GHG) Emissions Dataset, alongside an insights report that provides the most comprehensive, up-to-date picture of how the mining and metals sector…"
5,Ghana’s Gold Economy Explained,https://newbusinessethiopia.com/wp-content/uploads/2026/03/Ghanas-Gold-Sector-Production-Stability-Vendor-Complexity-150x100.gif,"March 3, 2026","Ghana’s Gold Economy Explained


                            March 3, 2026                        

                            By Africa Risk Control- For many observers outside Africa, Ghana is not immediately associated with global industry. Yet the country plays a central role in the international gold market and has become…"
6,Rising Gold Prices Deepening Conflict Risks in Ethiopia and Sudan,https://newbusinessethiopia.com/wp-content/uploads/2025/11/GoldMarketDubai-142x100.png,"November 14, 2025","Rising Gold Prices Deepening Conflict Risks in Ethiopia and Sudan


                            November 14, 2025                        

                            By Africa Risk Control (ARC) – It was a warm weekend night in mid-June 2025 when Khalid (not his real name), a Dubai-based gold trader, stepped into a popular nightclub in Addis…"
7,From Cobalt to Platinum: Africa’s Role in the Global Economy,https://newbusinessethiopia.com/wp-content/uploads/2025/10/From-Cobalt-to-Platinum-Africas-Role-in-the-Global-Economy-150x100.jpeg,"October 31, 2025","From Cobalt to Platinum: Africa’s Role in the Global Economy


                            October 31, 2025                        

                            By Africa Risk Control (ARC) – Africa is home to some of the world’s most strategically important minerals, from cobalt in the DRC to platinum in South Africa and diamonds in Botswana.…"
8,"Orion Minerals Set to Develop Secure, Responsible, Resilient Supply Chains",https://newbusinessethiopia.com/wp-content/uploads/2025/10/Orion-Minerals-Set-to-Develop-Secure-Responsible-Resilient-Supply-Chains-150x93.jpeg,"October 23, 2025","Orion Minerals Set to Develop Secure, Responsible, Resilient Supply Chains


                            October 23, 2025                        

                            Orion Resource Partners LP, a leading global investment firm specializing in metals and materials, today announces the formation of the Orion Critical Mineral Consortium that aims to develop secure, responsible, and resilient…"
9,Zambia’s Mining Sector Rebounds Amid Rising Global Copper Demand,https://newbusinessethiopia.com/wp-content/uploads/2025/10/Zambias-Mining-Sector-Rebounds-Amid-Rising-Global-Copper-Demand-150x98.png,"October 16, 2025","Zambia’s Mining Sector Rebounds Amid Rising Global Copper Demand


                            October 16, 2025                        

                            By Africa Risk Control (ARC): Zambia’s mining industry is regaining momentum as global demand for copper and cobalt strengthens, positioning the southern African nation as one of the continent’s most strategic mining…"
10,Why DRC Remains Africa’s Mining & Energy Frontier,https://newbusinessethiopia.com/wp-content/uploads/2025/10/Why-DRC-Remains-Africas-Mining-Energy-Frontier-150x100.png,"October 13, 2025","Why DRC Remains Africa’s Mining & Energy Frontier


                            October 13, 2025                        

                            By Africa Risk Control (ARC) – The Democratic Republic of Congo (DRC) remains one of Africa’s most compelling investment destinations for mining and energy sectors."
11,Ethiopia’s Minerals: A High-Potential Frontier for Global Investors,https://newbusinessethiopia.com/wp-content/uploads/2025/09/Ethiopias-Minerals-A-High-Potential-Frontier-for-Global-Investors-146x100.png,"September 2, 2025","Ethiopia’s Minerals: A High-Potential Frontier for Global Investors


                            September 2, 2025                        

                            By AfricaRiskControl Team – Ethiopia is emerging as a compelling destination for global mining investors, offering a wealth of untapped mineral resources and strategic investment opportunities. The country’s mineral sector is poised…"
12,Southern Africa’s critical minerals sector faces key financing gaps,https://newbusinessethiopia.com/wp-content/uploads/2025/08/Southern-Africas-critical-minerals-sector-faces-key-financing-gaps-150x100.jpg,"August 29, 2025","Southern Africa’s critical minerals sector faces key financing gaps


                            August 29, 2025                        

                            A new report launched today by the World Economic Forum highlights that Southern Africa’s critical minerals sector faced key financing gaps."
13,UK to boost strategic investments in African mining,https://newbusinessethiopia.com/wp-content/uploads/2025/08/download-2-150x92.jpeg,"August 18, 2025","UK to boost strategic investments in African mining


                            August 18, 2025                        

                            The United Kingdom (UK) is increasing its strategic investments in African mining to secure a reliable supply of both critical and traditional minerals essential for the energy transition and the Fourth Industrial…"
14,Dangote plans $3 billion fertilizer investment in Ethiopia,https://newbusinessethiopia.com/wp-content/uploads/2025/07/Dangote-plans-3-billion-fertilizer-investment-in-Ethiopia-150x100.png,"July 10, 2025","Dangote plans $3 billion fertilizer investment in Ethiopia


                            July 10, 2025                        

                            Mr. Aliko Dangote, Africa’s richest person, says he is planning to set up fertilizer factory in Eastern part of Ethiopia Somali region by investing $3 billion."
15,From asteroid mining to democratizing quantum,https://newbusinessethiopia.com/wp-content/uploads/2025/06/From-asteroid-mining-to-democratizing-quantum-133x100.jpeg,"June 23, 2025","From asteroid mining to democratizing quantum


                            June 23, 2025                        

                            The World Economic Forum today announces the 2025 cohort of its technology pioneers community, a group of 100 early-stage companies from 28 countries driving innovation across industries and borders."
16,Africa mining conference to focus on supply chain optimization,https://newbusinessethiopia.com/wp-content/uploads/2025/05/Africa-mining-conference-to-focus-on-supply-chain-optimization-150x92.jpeg,"May 13, 2025","Africa mining conference to focus on supply chain optimization


                            May 13, 2025                        

                            The upcoming African Mining Week – Africa’s premier gathering for mining stakeholders, scheduled for October 1 – 3, 2025, in Cape Town – is set to feature a high-level panel focused on…"
