Order_ID,Product,Price_Each,Quantity_Ordered,Order_Date,Purchase_Address
10000,Wireless Mouse,"ETB 1,200",-3.0,,
10001,MacBook Pro,"ETB 120,000",-1.0,2025-02-10,
10002,Samsung S22,"ETB 38,000",-1.0,,"Mekelle, Ethiopia"
10003,Laptop Bag,"ETB 2,500",,,"Megenagna, Addis Ababa"
10004,Shoe,"ETB 3,500",1.0,2025-05-12,
10005,Wireless Mouse,"ETB 1,200",1.0,,
10006,iPhone 13,"ETB 45,000",1.0,2025.03.22,"Adama, Ethiopia"
10007,MacBook Pro,"ETB 120,000",,,
10008,MacBook Pro,"ETB 120,000",,2025-05-12,"Bole, Addis Ababa"
10009,Laptop Bag,"ETB 2,500",1.0,2025/01/15,"Megenagna, Addis Ababa"
10010,MacBook Pro,"ETB 120,000",-3.0,,"Megenagna, Addis Ababa"
10011,iPhone 13,"ETB 45,000",-1.0,,"Bole, Addis Ababa"
10012,Wireless Mouse,"ETB 1,200",1.0,2025-02-10,
10013,iPhone 13,"ETB 45,000",-3.0,2025-05-12,"Adama, Ethiopia"
10014,iPhone 13,"ETB 45,000",,2025-05-12,"Mekelle, Ethiopia"
10015,Wireless Mouse,"ETB 1,200",2.0,,"Bole, Addis Ababa"
10016,Wireless Mouse,"ETB 1,200",2.0,2025.03.22,
10017,iPhone 13,"ETB 45,000",3.0,2025/01/15,"Bole, Addis Ababa"
10018,iPhone 13,"ETB 45,000",-1.0,,
10019,Wireless Mouse,"ETB 1,200",1.0,,
10020,Shoe,"ETB 3,500",,2025-05-12,
10021,iPhone 13,"ETB 45,000",3.0,2025-02-10,
10022,Samsung S22,"ETB 38,000",,,"Bahir Dar, Ethiopia"
10023,iPhone 13,"ETB 45,000",2.0,2025-02-10,"Bole, Addis Ababa"
10024,Samsung S22,"ETB 38,000",-3.0,2025/01/15,"Mekelle, Ethiopia"
10025,Samsung S22,"ETB 38,000",3.0,,
10026,MacBook Pro,"ETB 120,000",3.0,2025.03.22,
10027,Shoe,"ETB 3,500",-3.0,,"Megenagna, Addis Ababa"
10028,iPhone 13,"ETB 45,000",,,
10029,Wireless Mouse,"ETB 1,200",2.0,2025.03.22,"Adama, Ethiopia"
10030,Laptop Bag,"ETB 2,500",1.0,2025.03.22,
10031,Shoe,"ETB 3,500",2.0,,"Megenagna, Addis Ababa"
10032,MacBook Pro,"ETB 120,000",-1.0,,
10033,MacBook Pro,"ETB 120,000",-3.0,,
10034,MacBook Pro,"ETB 120,000",3.0,,
10035,Laptop Bag,"ETB 2,500",3.0,2025.03.22,"Adama, Ethiopia"
10036,Samsung S22,"ETB 38,000",3.0,2025/01/15,"Hawassa, Ethiopia"
10037,MacBook Pro,"ETB 120,000",,2025/04/05,
10038,Shoe,"ETB 3,500",,,"Adama, Ethiopia"
10039,iPhone 13,"ETB 45,000",3.0,2025/04/05,"Mekelle, Ethiopia"
10040,iPhone 13,"ETB 45,000",2.0,,"Hawassa, Ethiopia"
10041,Wireless Mouse,"ETB 1,200",3.0,2025-02-10,
10042,Shoe,"ETB 3,500",1.0,2025.03.22,
10043,Wireless Mouse,"ETB 1,200",-1.0,,"Bole, Addis Ababa"
10044,MacBook Pro,"ETB 120,000",,,
10045,Wireless Mouse,"ETB 1,200",3.0,,
10046,Wireless Mouse,"ETB 1,200",-1.0,,"Megenagna, Addis Ababa"
10047,Laptop Bag,"ETB 2,500",,,"Bole, Addis Ababa"
10048,Laptop Bag,"ETB 2,500",-1.0,2025-05-12,"Bahir Dar, Ethiopia"
10049,Shoe,"ETB 3,500",1.0,,
10050,iPhone 13,"ETB 45,000",3.0,2025/04/05,"Hawassa, Ethiopia"
10051,Laptop Bag,"ETB 2,500",1.0,,
10052,Samsung S22,"ETB 38,000",-3.0,,
10053,Laptop Bag,"ETB 2,500",,,
10054,Shoe,"ETB 3,500",,2025.03.22,"Hawassa, Ethiopia"
10055,Laptop Bag,"ETB 2,500",,2025.03.22,
10056,Samsung S22,"ETB 38,000",-3.0,,"Bole, Addis Ababa"
10057,Wireless Mouse,"ETB 1,200",3.0,,
10058,Samsung S22,"ETB 38,000",3.0,,"Adama, Ethiopia"
10059,Wireless Mouse,"ETB 1,200",3.0,,
10060,MacBook Pro,"ETB 120,000",3.0,2025/04/05,
10061,MacBook Pro,"ETB 120,000",3.0,2025/04/05,
10062,Shoe,"ETB 3,500",1.0,,"Megenagna, Addis Ababa"
10063,iPhone 13,"ETB 45,000",3.0,2025.03.22,"Adama, Ethiopia"
10064,MacBook Pro,"ETB 120,000",2.0,,
10065,Laptop Bag,"ETB 2,500",1.0,2025-02-10,
10066,Shoe,"ETB 3,500",3.0,2025.03.22,
10067,iPhone 13,"ETB 45,000",-3.0,2025/04/05,
10068,iPhone 13,"ETB 45,000",2.0,2025.03.22,"Hawassa, Ethiopia"
10069,iPhone 13,"ETB 45,000",1.0,2025-05-12,
10070,Laptop Bag,"ETB 2,500",3.0,2025/04/05,"Adama, Ethiopia"
10071,Shoe,"ETB 3,500",2.0,2025-05-12,"Bole, Addis Ababa"
10072,Wireless Mouse,"ETB 1,200",,2025-05-12,"Hawassa, Ethiopia"
10073,Laptop Bag,"ETB 2,500",1.0,,
10074,iPhone 13,"ETB 45,000",1.0,2025-02-10,"Mekelle, Ethiopia"
10075,Wireless Mouse,"ETB 1,200",2.0,2025/04/05,
10076,Laptop Bag,"ETB 2,500",2.0,2025/01/15,
10077,Wireless Mouse,"ETB 1,200",2.0,,"Bole, Addis Ababa"
10078,Wireless Mouse,"ETB 1,200",-1.0,,
10079,Shoe,"ETB 3,500",1.0,2025-02-10,
10080,Laptop Bag,"ETB 2,500",3.0,2025.03.22,"Mekelle, Ethiopia"
10081,Shoe,"ETB 3,500",2.0,2025/01/15,
10082,Wireless Mouse,"ETB 1,200",,,"Hawassa, Ethiopia"
10083,Samsung S22,"ETB 38,000",-3.0,,
10084,iPhone 13,"ETB 45,000",,,"Mekelle, Ethiopia"
10085,Samsung S22,"ETB 38,000",-1.0,,
10086,Wireless Mouse,"ETB 1,200",-3.0,,
10087,Laptop Bag,"ETB 2,500",-1.0,,
10088,Wireless Mouse,"ETB 1,200",-3.0,,"Bahir Dar, Ethiopia"
10089,iPhone 13,"ETB 45,000",-1.0,2025/04/05,
10090,iPhone 13,"ETB 45,000",1.0,,"Adama, Ethiopia"
10091,Wireless Mouse,"ETB 1,200",2.0,,
10092,Wireless Mouse,"ETB 1,200",-3.0,,"Adama, Ethiopia"
10093,Laptop Bag,"ETB 2,500",-3.0,2025-05-12,"Megenagna, Addis Ababa"
10094,Samsung S22,"ETB 38,000",-1.0,2025/04/05,"Bole, Addis Ababa"
10095,Wireless Mouse,"ETB 1,200",,,
10096,MacBook Pro,"ETB 120,000",,,"Bahir Dar, Ethiopia"
10097,iPhone 13,"ETB 45,000",-3.0,,"Bole, Addis Ababa"
10098,Laptop Bag,"ETB 2,500",,2025/04/05,"Megenagna, Addis Ababa"
10099,Wireless Mouse,"ETB 1,200",,,
10100,Shoe,"ETB 3,500",,2025/04/05,"Bahir Dar, Ethiopia"
10101,MacBook Pro,"ETB 120,000",,2025.03.22,"Bahir Dar, Ethiopia"
10102,MacBook Pro,"ETB 120,000",-3.0,,"Bole, Addis Ababa"
10103,Samsung S22,"ETB 38,000",-1.0,,
10104,Wireless Mouse,"ETB 1,200",3.0,,"Hawassa, Ethiopia"
10105,Shoe,"ETB 3,500",3.0,,
10106,Laptop Bag,"ETB 2,500",-3.0,2025/04/05,
10107,MacBook Pro,"ETB 120,000",,2025-02-10,
10108,Wireless Mouse,"ETB 1,200",-1.0,,"Bahir Dar, Ethiopia"
10109,Laptop Bag,"ETB 2,500",2.0,2025/04/05,"Bahir Dar, Ethiopia"
10110,iPhone 13,"ETB 45,000",1.0,,"Adama, Ethiopia"
10111,Samsung S22,"ETB 38,000",2.0,,"Bahir Dar, Ethiopia"
10112,Wireless Mouse,"ETB 1,200",2.0,,
10113,Wireless Mouse,"ETB 1,200",-3.0,,
10114,MacBook Pro,"ETB 120,000",3.0,,
10115,MacBook Pro,"ETB 120,000",-3.0,2025/01/15,"Adama, Ethiopia"
