Order_ID,Product,Price_Each,Quantity_Ordered,Order_Date,Purchase_Address,Total_Sales
10000,Laptop Bag,2500,3.0,2025-01-15,Unkown-Adress,7500.0
10001,Laptop Bag,2500,1.0,Unknown-Date,"Hawassa, Ethiopia",2500.0
10002,MacBook Pro,120000,3.0,Unknown-Date,"Hawassa, Ethiopia",360000.0
10003,Laptop Bag,2500,3.0,Unknown-Date,Unkown-Adress,7500.0
10004,iPhone 13,45000,1.0,Unknown-Date,"Bahir Dar, Ethiopia",45000.0
10005,Samsung S22,38000,3.0,2025-04-05,Unkown-Adress,114000.0
10006,iPhone 13,45000,1.0,2025-01-15,Unkown-Adress,45000.0
10007,Wireless Mouse,1200,3.0,Unknown-Date,Unkown-Adress,3600.0
10008,Samsung S22,38000,1.0,2025-01-15,Unkown-Adress,38000.0
10009,MacBook Pro,120000,2.0,2025-02-10,"Hawassa, Ethiopia",240000.0
10010,Wireless Mouse,1200,3.0,Unknown-Date,"Megenagna, Addis Ababa",3600.0
10011,Wireless Mouse,1200,3.0,2025-02-10,"Hawassa, Ethiopia",3600.0
10012,Samsung S22,38000,3.0,Unknown-Date,Unkown-Adress,114000.0
10013,Samsung S22,38000,1.0,2025-03-22,"Hawassa, Ethiopia",38000.0
10014,Samsung S22,38000,1.0,2025-05-12,Unkown-Adress,38000.0
10015,MacBook Pro,120000,2.0,Unknown-Date,"Bole, Addis Ababa",240000.0
10016,Laptop Bag,2500,2.0,Unknown-Date,Unkown-Adress,5000.0
10017,Laptop Bag,2500,2.0,2025-04-05,Unkown-Adress,5000.0
10018,Samsung S22,38000,2.0,Unknown-Date,"Mekelle, Ethiopia",76000.0
10019,Wireless Mouse,1200,3.0,2025-05-12,"Mekelle, Ethiopia",3600.0
10020,MacBook Pro,120000,1.0,Unknown-Date,Unkown-Adress,120000.0
10021,MacBook Pro,120000,1.0,2025-05-12,"Bole, Addis Ababa",120000.0
10022,iPhone 13,45000,2.0,Unknown-Date,Unkown-Adress,90000.0
10023,Samsung S22,38000,2.0,2025-01-15,"Mekelle, Ethiopia",76000.0
10024,Laptop Bag,2500,3.0,Unknown-Date,Unkown-Adress,7500.0
10025,iPhone 13,45000,1.0,2025-05-12,"Adama, Ethiopia",45000.0
10026,MacBook Pro,120000,1.0,Unknown-Date,"Megenagna, Addis Ababa",120000.0
10027,iPhone 13,45000,1.0,2025-04-05,Unkown-Adress,45000.0
10028,iPhone 13,45000,2.0,Unknown-Date,Unkown-Adress,90000.0
10029,Shoe,3500,1.0,Unknown-Date,"Bahir Dar, Ethiopia",3500.0
10030,MacBook Pro,120000,3.0,2025-03-22,Unkown-Adress,360000.0
10031,Wireless Mouse,1200,2.0,2025-01-15,"Adama, Ethiopia",2400.0
10032,Samsung S22,38000,3.0,Unknown-Date,Unkown-Adress,114000.0
10033,Wireless Mouse,1200,1.0,2025-05-12,"Mekelle, Ethiopia",1200.0
10034,Wireless Mouse,1200,3.0,Unknown-Date,"Bole, Addis Ababa",3600.0
10035,iPhone 13,45000,1.0,2025-05-12,"Megenagna, Addis Ababa",45000.0
10036,iPhone 13,45000,1.0,2025-01-15,"Megenagna, Addis Ababa",45000.0
10037,MacBook Pro,120000,1.0,Unknown-Date,Unkown-Adress,120000.0
10038,iPhone 13,45000,3.0,2025-01-15,Unkown-Adress,135000.0
10039,MacBook Pro,120000,1.0,Unknown-Date,Unkown-Adress,120000.0
10040,Samsung S22,38000,1.0,2025-05-12,"Hawassa, Ethiopia",38000.0
10041,Samsung S22,38000,2.0,2025-04-05,"Bahir Dar, Ethiopia",76000.0
10042,Samsung S22,38000,3.0,Unknown-Date,Unkown-Adress,114000.0
10043,Laptop Bag,2500,1.0,Unknown-Date,"Bahir Dar, Ethiopia",2500.0
10044,Samsung S22,38000,1.0,2025-04-05,Unkown-Adress,38000.0
10045,iPhone 13,45000,1.0,Unknown-Date,"Hawassa, Ethiopia",45000.0
10046,Laptop Bag,2500,1.0,Unknown-Date,Unkown-Adress,2500.0
