Order_ID,Product,Price_Each,Quantity_Ordered,Order_Date,Purchase_Address
10000,Laptop Bag,"ETB 2,500",-3.0,2025/01/15,
10001,Laptop Bag,"ETB 2,500",-1.0,,"Hawassa, Ethiopia"
10002,MacBook Pro,"ETB 120,000",3.0,,"Hawassa, Ethiopia"
10003,Laptop Bag,"ETB 2,500",-3.0,,
10004,iPhone 13,"ETB 45,000",1.0,,"Bahir Dar, Ethiopia"
10005,Samsung S22,"ETB 38,000",3.0,2025/04/05,
10006,iPhone 13,"ETB 45,000",1.0,2025/01/15,
10007,Wireless Mouse,"ETB 1,200",-3.0,,
10008,Samsung S22,"ETB 38,000",,2025/01/15,
10009,MacBook Pro,"ETB 120,000",2.0,2025-02-10,"Hawassa, Ethiopia"
10010,Wireless Mouse,"ETB 1,200",-3.0,,"Megenagna, Addis Ababa"
10011,Wireless Mouse,"ETB 1,200",3.0,2025-02-10,"Hawassa, Ethiopia"
10012,Samsung S22,"ETB 38,000",-3.0,,
10013,Samsung S22,"ETB 38,000",-1.0,2025.03.22,"Hawassa, Ethiopia"
10014,Samsung S22,"ETB 38,000",-1.0,2025-05-12,
10015,MacBook Pro,"ETB 120,000",2.0,,"Bole, Addis Ababa"
10016,Laptop Bag,"ETB 2,500",2.0,,
10017,Laptop Bag,"ETB 2,500",2.0,2025/04/05,
10018,Samsung S22,"ETB 38,000",2.0,,"Mekelle, Ethiopia"
10019,Wireless Mouse,"ETB 1,200",-3.0,2025-05-12,"Mekelle, Ethiopia"
10020,MacBook Pro,"ETB 120,000",1.0,,
10021,MacBook Pro,"ETB 120,000",,2025-05-12,"Bole, Addis Ababa"
10022,iPhone 13,"ETB 45,000",2.0,,
10023,Samsung S22,"ETB 38,000",2.0,2025/01/15,"Mekelle, Ethiopia"
10024,Laptop Bag,"ETB 2,500",3.0,,
10025,iPhone 13,"ETB 45,000",,2025-05-12,"Adama, Ethiopia"
10026,MacBook Pro,"ETB 120,000",1.0,,"Megenagna, Addis Ababa"
10027,iPhone 13,"ETB 45,000",,2025/04/05,
10028,iPhone 13,"ETB 45,000",2.0,,
10029,Shoe,"ETB 3,500",1.0,,"Bahir Dar, Ethiopia"
10030,MacBook Pro,"ETB 120,000",3.0,2025.03.22,
10031,Wireless Mouse,"ETB 1,200",2.0,2025/01/15,"Adama, Ethiopia"
10032,Samsung S22,"ETB 38,000",-3.0,,
10033,Wireless Mouse,"ETB 1,200",,2025-05-12,"Mekelle, Ethiopia"
10034,Wireless Mouse,"ETB 1,200",-3.0,,"Bole, Addis Ababa"
10035,iPhone 13,"ETB 45,000",-1.0,2025-05-12,"Megenagna, Addis Ababa"
10036,iPhone 13,"ETB 45,000",-1.0,2025/01/15,"Megenagna, Addis Ababa"
10037,MacBook Pro,"ETB 120,000",,,
10038,iPhone 13,"ETB 45,000",3.0,2025/01/15,
10039,MacBook Pro,"ETB 120,000",,,
10040,Samsung S22,"ETB 38,000",1.0,2025-05-12,"Hawassa, Ethiopia"
10041,Samsung S22,"ETB 38,000",2.0,2025/04/05,"Bahir Dar, Ethiopia"
10042,Samsung S22,"ETB 38,000",3.0,,
10043,Laptop Bag,"ETB 2,500",1.0,,"Bahir Dar, Ethiopia"
10044,Samsung S22,"ETB 38,000",,2025/04/05,
10045,iPhone 13,"ETB 45,000",-1.0,,"Hawassa, Ethiopia"
10046,Laptop Bag,"ETB 2,500",-1.0,,
10047,Shoe,"ETB 3,500",1.0,2025/01/15,"Adama, Ethiopia"
10048,Samsung S22,"ETB 38,000",3.0,2025-05-12,
10049,Laptop Bag,"ETB 2,500",-3.0,2025.03.22,"Bole, Addis Ababa"
10050,iPhone 13,"ETB 45,000",2.0,,
10051,Shoe,"ETB 3,500",-3.0,2025-05-12,
10052,Laptop Bag,"ETB 2,500",1.0,2025/04/05,
10053,Samsung S22,"ETB 38,000",,,"Megenagna, Addis Ababa"
10054,Wireless Mouse,"ETB 1,200",3.0,2025/04/05,
10055,iPhone 13,"ETB 45,000",2.0,,"Bahir Dar, Ethiopia"
10056,Shoe,"ETB 3,500",1.0,2025-05-12,
10057,MacBook Pro,"ETB 120,000",1.0,,"Mekelle, Ethiopia"
10058,Shoe,"ETB 3,500",3.0,2025/01/15,
10059,MacBook Pro,"ETB 120,000",2.0,,"Bahir Dar, Ethiopia"
10060,MacBook Pro,"ETB 120,000",-1.0,2025-05-12,
10061,Laptop Bag,"ETB 2,500",-3.0,,"Bahir Dar, Ethiopia"
10062,Laptop Bag,"ETB 2,500",,,"Bahir Dar, Ethiopia"
10063,Wireless Mouse,"ETB 1,200",,2025-02-10,"Hawassa, Ethiopia"
10064,Samsung S22,"ETB 38,000",1.0,,"Hawassa, Ethiopia"
10065,Samsung S22,"ETB 38,000",3.0,,"Adama, Ethiopia"
10066,iPhone 13,"ETB 45,000",3.0,,"Mekelle, Ethiopia"
10067,Samsung S22,"ETB 38,000",3.0,2025/01/15,"Bole, Addis Ababa"
10068,MacBook Pro,"ETB 120,000",-3.0,,
10069,MacBook Pro,"ETB 120,000",3.0,2025.03.22,"Mekelle, Ethiopia"
10070,Shoe,"ETB 3,500",-3.0,2025-05-12,
10071,MacBook Pro,"ETB 120,000",3.0,2025-02-10,"Adama, Ethiopia"
10072,Samsung S22,"ETB 38,000",-3.0,2025/01/15,"Bahir Dar, Ethiopia"
10073,Wireless Mouse,"ETB 1,200",1.0,2025-05-12,
10074,Wireless Mouse,"ETB 1,200",-3.0,,
10075,Wireless Mouse,"ETB 1,200",1.0,2025/01/15,
