student_id,hours_studied,attendance,previous_score,passed
1,0.9,81,64.6,0
2,5.7,83.9,83.4,1
3,4.5,100,51.5,1
4,4.8,100,71.3,0
5,3.4,59.3,57.2,0
6,10.6,87.5,68.6,1
7,4.4,87.2,45.1,0
8,4.1,82.9,73.7,0
9,5.7,91.1,68.1,0
10,5,81.4,84.6,0
11,7.7,78.8,45.6,0
12,8.2,72.9,55.2,0
13,5.3,100,72.6,1
14,7.5,85.7,70.1,1
15,3.6,58,56.5,0
16,10.6,77.5,62.3,1
17,4.1,54.3,56.1,0
18,7.8,98.3,72.3,1
19,5,85.8,76.9,1
20,7.7,74.6,35.6,0
21,7.1,90.2,67,0
22,3.5,74.9,53,0
23,5.6,91.5,39.1,0
24,4.9,77.7,59.9,0
25,5.7,77.4,40,0
26,4.1,87.8,92.4,0
27,5.4,73.2,47.5,0
28,9.2,84.6,59.6,0
29,4.3,68.4,62.8,0
30,2.2,57.5,71.8,0
31,4.3,84.2,53,0
32,3.5,76.7,49.4,0
33,9,70.7,76.3,0
34,3.8,84.6,71.1,1
35,6,81.8,97.2,1
36,6.7,81.6,59.3,0
37,3,83.7,61.6,0
38,7.3,83.1,63.6,1
39,5.4,71.6,87.6,1
40,6.6,100,75.4,1
41,7.2,76.7,76.8,1
42,4.8,93.3,100,1
43,4.1,86.6,75.8,1
44,5.5,88.6,65.7,0
45,4.2,100,62,0
46,2.9,83.3,99.5,0
47,8.8,60,50.2,0
48,5.1,56.2,73.6,0
49,2.6,70.4,50.3,0
50,5.5,77,74.4,1
51,4.7,84.9,54.6,1
52,9.7,69.1,84.8,1
53,4.5,92.7,80.9,0
54,4.5,92.1,87,1
55,4.4,59.3,66.8,0
56,5.5,82.8,79.6,0
57,12,65.5,61,1
58,6.5,68.2,62.5,0
59,4.7,91.8,60.2,0
60,6.4,92.7,68,1
61,5.7,62.5,100,0
62,5.5,67.8,54.3,0
63,7,77.1,47.1,1
64,3.4,94.7,48.1,0
65,6.4,100,68,1
66,6.4,95.4,82.5,0
67,10.5,100,76.9,1
68,3.4,64.4,86.4,0
69,6.4,62.2,62.6,1
70,7.1,86.5,89.2,1
71,5.4,80.7,62.3,0
72,9.3,67.2,53.8,1
73,7.8,100,54.3,1
74,10.7,71.8,72.5,1
75,1.3,63.7,78.6,0
76,4.6,60.8,47.9,0
77,7.5,81.5,53.5,0
78,3.9,91.8,72.9,0
79,4.5,73.5,86,0
80,4.9,83.6,54.7,0
81,5.1,86.2,42.3,0
82,3.2,78.5,57.8,0
83,4.4,81.1,82.2,0
84,9.2,96.6,53,1
85,9.3,72.8,59.9,1
86,6,59.9,91.1,0
87,3.8,100,23.5,0
88,4.3,79.2,89.5,1
89,5.6,79.8,77.7,1
90,6.9,75.4,86.3,0
91,7,81.3,69.5,1
92,6.9,62.7,80.6,0
93,4.3,70,73.9,0
94,3.5,83.2,77.5,0
95,7.4,86.9,75.8,1
96,5.8,100,76.6,1
97,3.8,72.1,61.5,0
98,4.4,77.2,53.9,0
99,1.8,100,79.1,0
100,4.3,84.9,80.3,0
101,5.7,72.9,71.2,1
102,6.7,95.6,59.8,1
103,7.9,86.4,80.2,1
104,5.1,71,39.5,0
105,0.7,95.8,60.1,0
106,9.1,71.2,59.6,0
107,6,52.2,67.6,0
108,7.1,70.6,59,1
109,4.4,87.2,45.9,1
110,6.3,100,62.1,0
111,2.8,78.4,54.5,0
112,5.2,72.9,85.8,1
113,0.5,74.1,43.9,0
114,5.9,64.1,66.3,0
115,6.7,68.5,44.9,0
