timestamp,kwh
2024-03-01 00:00:00,0.931
2024-03-01 01:00:00,0.74
2024-03-01 02:00:00,1.289
2024-03-01 03:00:00,0.956
2024-03-01 04:00:00,1.259
2024-03-01 05:00:00,1.835
2024-03-01 06:00:00,1.748
2024-03-01 07:00:00,2.194
2024-03-01 08:00:00,2.722
2024-03-01 09:00:00,2.991
2024-03-01 10:00:00,3.148
2024-03-01 11:00:00,3.569
2024-03-01 12:00:00,3.708
2024-03-01 13:00:00,3.976
2024-03-01 14:00:00,3.612
2024-03-01 15:00:00,3.807
2024-03-01 16:00:00,4.152
2024-03-01 17:00:00,4.256
2024-03-01 18:00:00,3.524
2024-03-01 19:00:00,3.616
2024-03-01 20:00:00,2.843
2024-03-01 21:00:00,2.267
2024-03-01 22:00:00,1.667
2024-03-01 23:00:00,1.259
2024-03-02 00:00:00,0.53
2024-03-02 01:00:00,0.428
2024-03-02 02:00:00,0.362
2024-03-02 03:00:00,0.436
2024-03-02 04:00:00,0.74
2024-03-02 05:00:00,1.031
2024-03-02 06:00:00,1.555
2024-03-02 07:00:00,1.686
2024-03-02 08:00:00,2.187
2024-03-02 09:00:00,2.532
2024-03-02 10:00:00,2.853
2024-03-02 11:00:00,3.151
2024-03-02 12:00:00,3.308
2024-03-02 13:00:00,3.608
2024-03-02 14:00:00,3.396
2024-03-02 15:00:00,3.714
2024-03-02 16:00:00,3.39
2024-03-02 17:00:00,3.335
2024-03-02 18:00:00,3.314
2024-03-02 19:00:00,3.064
2024-03-02 20:00:00,2.568
2024-03-02 21:00:00,2.154
2024-03-02 22:00:00,1.529
2024-03-02 23:00:00,0.924
2024-03-03 00:00:00,0.291
2024-03-03 01:00:00,0.282
2024-03-03 02:00:00,0.606
2024-03-03 03:00:00,0.541
2024-03-03 04:00:00,0.503
2024-03-03 05:00:00,0.926
2024-03-03 06:00:00,1.308
2024-03-03 07:00:00,2.007
2024-03-03 08:00:00,2.169
2024-03-03 09:00:00,2.957
2024-03-03 10:00:00,2.981
2024-03-03 11:00:00,3.129
2024-03-03 12:00:00,3.194
2024-03-03 13:00:00,3.542
2024-03-03 14:00:00,3.368
2024-03-03 15:00:00,3.284
2024-03-03 16:00:00,3.547
2024-03-03 17:00:00,3.424
2024-03-03 18:00:00,3.51
2024-03-03 19:00:00,2.987
2024-03-03 20:00:00,2.005
2024-03-03 21:00:00,2.063
2024-03-03 22:00:00,0.985
2024-03-03 23:00:00,1.112
2024-03-04 00:00:00,1.179
2024-03-04 01:00:00,0.723
2024-03-04 02:00:00,0.641
