date,transactions,revenue
2023-01-02,788,15680.68
2023-01-03,799,15184.39
2023-01-04,722,10945.52
2023-01-05,862,14243.5
2023-01-06,909,14807.19
2023-01-07,1039,17291.33
2023-01-08,998,14855.74
2023-01-09,824,12292.29
2023-01-10,777,13126.67
2023-01-11,806,13787.06
2023-01-12,845,15868.05
2023-01-13,958,16781.45
2023-01-14,1093,22005.53
2023-01-15,930,14186.13
2023-01-16,759,12071.54
2023-01-17,863,15852.28
2023-01-18,921,16200.4
2023-01-19,869,14358.39
2023-01-20,901,17248.96
2023-01-21,1121,22011.54
2023-01-22,979,19537.24
2023-01-23,846,14717.0
2023-01-24,904,16250.72
2023-01-25,883,16188.42
2023-01-26,878,15882.33
2023-01-27,969,18913.31
2023-01-28,1047,18076.34
2023-01-29,989,18343.91
2023-01-30,792,11621.01
2023-01-31,829,15854.46
2023-02-01,837,17115.83
2023-02-02,871,15637.53
2023-02-03,923,18040.66
2023-02-04,1084,16812.34
2023-02-05,1004,17564.79
2023-02-06,835,13095.06
2023-02-07,905,16726.31
2023-02-08,793,14897.07
2023-02-09,942,15011.63
2023-02-10,933,15611.78
2023-02-11,1029,17618.06
2023-02-12,997,21575.94
2023-02-13,830,14845.57
2023-02-14,894,16259.17
2023-02-15,819,15187.44
2023-02-16,897,16551.6
2023-02-17,954,16818.9
2023-02-18,1013,16209.2
2023-02-19,956,16232.18
2023-02-20,857,17525.31
2023-02-21,882,16211.21
2023-02-22,920,16046.75
2023-02-23,916,14623.98
2023-02-24,970,17379.78
2023-02-25,1099,19823.21
2023-02-26,1068,18176.2
2023-02-27,796,15396.23
2023-02-28,848,14520.25
2023-03-01,893,15841.96
2023-03-02,825,15891.43
2023-03-03,1016,18620.27
2023-03-04,1062,20893.22
2023-03-05,1015,17911.44
2023-03-06,935,16229.58
2023-03-07,822,15365.69
2023-03-08,856,15678.22
2023-03-09,970,19193.21
2023-03-10,912,16974.0
2023-03-11,1082,19431.43
2023-03-12,1045,19517.79
2023-03-13,863,16383.3
2023-03-14,890,14521.64
2023-03-15,900,16014.78
2023-03-16,965,16884.69
2023-03-17,1011,20012.46
2023-03-18,1132,19558.94
2023-03-19,995,19506.63
2023-03-20,815,13118.55
2023-03-21,782,14002.4
2023-03-22,919,18011.7
2023-03-23,827,14554.79
2023-03-24,1009,19901.66
2023-03-25,1193,17844.44
2023-03-26,983,17727.32
2023-03-27,820,14961.99
2023-03-28,850,15143.02
2023-03-29,930,14628.94
2023-03-30,874,16604.33
2023-03-31,968,14033.51
2023-04-01,1090,21179.77
2023-04-02,1023,18867.07
2023-04-03,913,17791.86
2023-04-05,900,14694.14
2023-04-06,929,16006.92
2023-04-07,1016,17585.3
2023-04-08,1061,20056.83
2023-04-09,1089,19093.33
2023-04-10,879,16368.95
2023-04-11,919,17217.21
2023-04-12,904,18197.42
2023-04-13,847,12730.2
2023-04-14,953,16575.52
2023-04-15,1159,22069.67
2023-04-16,1045,19893.71
2023-04-17,861,14790.99
2023-04-18,965,16996.53
2023-04-19,1004,17943.59
2023-04-20,924,16823.72
2023-04-21,1073,18426.88
2023-04-22,1037,17684.63
2023-04-23,955,15608.52
2023-04-24,907,15825.94
2023-04-25,877,17622.38
2023-04-26,935,15523.94
2023-04-27,953,18551.53
2023-04-28,986,20645.72
2023-04-29,1161,21296.49
2023-04-30,1058,22824.46
2023-05-01,803,14314.89
2023-05-02,902,18534.58
2023-05-03,922,16561.18
2023-05-04,1016,16490.85
2023-05-05,944,17519.35
2023-05-06,1136,23709.7
2023-05-07,1037,17794.86
2023-05-08,870,16336.02
2023-05-09,971,16088.49
2023-05-10,934,15633.13
