product_id,date,sales
P001,2023-01-01,56
P001,2023-01-02,35
P001,2023-01-03,44
P001,2023-01-04,45
P001,2023-01-05,30
P001,2023-01-06,34
P001,2023-01-07,55
P001,2023-01-08,52
P001,2023-01-09,40
P001,2023-01-10,36
P001,2023-01-11,44
P001,2023-01-12,44
P001,2023-01-13,40
P001,2023-01-14,60
P001,2023-01-15,56
P001,2023-01-16,36
P001,2023-01-17,42
P001,2023-01-18,35
P001,2023-01-19,45
P001,2023-01-20,40
P001,2023-01-21,53
P001,2023-01-22,51
P001,2023-01-23,46
P001,2023-01-24,39
P001,2023-01-25,38
P001,2023-01-26,38
P001,2023-01-27,43
P001,2023-01-28,56
P001,2023-01-29,56
P001,2023-01-30,42
P001,2023-01-31,51
P001,2023-02-01,38
P001,2023-02-02,38
P001,2023-02-03,36
P001,2023-02-04,57
P001,2023-02-05,60
P001,2023-02-06,40
P001,2023-02-07,36
P001,2023-02-08,36
P001,2023-02-09,44
P001,2023-02-10,44
P001,2023-02-11,57
P001,2023-02-12,51
P001,2023-02-13,42
P001,2023-02-14,41
P001,2023-02-15,42
P001,2023-02-16,45
P001,2023-02-17,42
P001,2023-02-18,58
P001,2023-02-19,55
P001,2023-02-20,42
P001,2023-02-21,44
P001,2023-02-22,33
P001,2023-02-23,39
P001,2023-02-24,38
P001,2023-02-25,51
P001,2023-02-26,53
P001,2023-02-27,48
P001,2023-02-28,36
P001,2023-03-01,45
P001,2023-03-02,32
P001,2023-03-03,39
P001,2023-03-04,55
P001,2023-03-05,58
P001,2023-03-06,44
P001,2023-03-07,45
P001,2023-03-08,39
P001,2023-03-09,38
P001,2023-03-10,45
P001,2023-03-11,54
P001,2023-03-12,48
P001,2023-03-13,35
P001,2023-03-14,432
P001,2023-03-15,43
P001,2023-03-16,41
P001,2023-03-17,44
P001,2023-03-18,53
P001,2023-03-19,56
P001,2023-03-20,44
P001,2023-03-21,39
P001,2023-03-22,43
P001,2023-03-23,38
P001,2023-03-24,39
P001,2023-03-25,53
P001,2023-03-26,49
P001,2023-03-27,43
P001,2023-03-28,39
P001,2023-03-29,41
P001,2023-03-30,43
P001,2023-03-31,43
P001,2023-04-01,58
P001,2023-04-02,54
P001,2023-04-03,39
P001,2023-04-04,41
P001,2023-04-05,33
P001,2023-04-06,34
P001,2023-04-07,34
P001,2023-04-08,50
P001,2023-04-09,57
P001,2023-04-10,36
P001,2023-04-11,39
P001,2023-04-12,48
P001,2023-04-13,39
P001,2023-04-14,45
P001,2023-04-15,50
P001,2023-04-16,54
P001,2023-04-17,36
P001,2023-04-18,39
P001,2023-04-19,45
P001,2023-04-20,32
P001,2023-04-21,43
P001,2023-04-22,56
P001,2023-04-23,52
P001,2023-04-24,34
P001,2023-04-25,42
P001,2023-04-26,39
P001,2023-04-27,42
P001,2023-04-28,41
P001,2023-04-29,63
P001,2023-04-30,54
P001,2023-05-01,36
P001,2023-05-02,42
P001,2023-05-03,42
P001,2023-05-04,48
P001,2023-05-05,45
P001,2023-05-06,57
P001,2023-05-07,63
P001,2023-05-08,35
P001,2023-05-09,38
P001,2023-05-10,37
P001,2023-05-11,39
P001,2023-05-12,34
P001,2023-05-13,58
P001,2023-05-14,54
P001,2023-05-15,34
P001,2023-05-16,36
P001,2023-05-17,43
P001,2023-05-18,46
P001,2023-05-19,51
P001,2023-05-20,70
P001,2023-05-21,57
P001,2023-05-22,36
P001,2023-05-23,31
P001,2023-05-24,43
P001,2023-05-25,37
P001,2023-05-26,39
P001,2023-05-27,52
P001,2023-05-28,55
P001,2023-05-29,47
P001,2023-05-30,42
P001,2023-05-31,41
P001,2023-06-01,36
P001,2023-06-02,33
P001,2023-06-03,53
P001,2023-06-04,55
P001,2023-06-05,0
P001,2023-06-06,0
P001,2023-06-07,0
P001,2023-06-08,0
P001,2023-06-09,36
P001,2023-06-10,51
P001,2023-06-11,52
P001,2023-06-12,52
P001,2023-06-13,38
P001,2023-06-14,46
P001,2023-06-15,37
P001,2023-06-16,46
P001,2023-06-17,58
P001,2023-06-18,55
P001,2023-06-19,41
P001,2023-06-20,38
P001,2023-06-21,44
P001,2023-06-22,39
P001,2023-06-23,36
P001,2023-06-24,49
P001,2023-06-25,57
P001,2023-06-26,50
P001,2023-06-27,43
P001,2023-06-28,41
P001,2023-06-29,43
P001,2023-06-30,48
P001,2023-07-01,57
P001,2023-07-02,54
P001,2023-07-03,47
P001,2023-07-04,44
P001,2023-07-05,50
P001,2023-07-06,43
P001,2023-07-07,36
P001,2023-07-08,49
P001,2023-07-09,64
P001,2023-07-10,51
P001,2023-07-11,41
P001,2023-07-12,40
P001,2023-07-13,49
P001,2023-07-14,36
P001,2023-07-15,51
P001,2023-07-16,59
P001,2023-07-17,40
P001,2023-07-18,42
P001,2023-07-19,41
P001,2023-07-20,44
P001,2023-07-21,49
P001,2023-07-22,56
P001,2023-07-23,59
P001,2023-07-24,32
P001,2023-07-25,42
P001,2023-07-26,38
P001,2023-07-27,36
P001,2023-07-28,38
P001,2023-07-29,54
P001,2023-07-30,61
P001,2023-07-31,35
P001,2023-08-01,42
P001,2023-08-02,40
P001,2023-08-03,41
P001,2023-08-04,47
P001,2023-08-05,59
P001,2023-08-06,63
P001,2023-08-07,41
P001,2023-08-08,9999
P001,2023-08-09,41
P001,2023-08-10,43
P001,2023-08-11,43
P001,2023-08-12,51
P001,2023-08-13,57
P001,2023-08-14,43
P001,2023-08-15,55
P001,2023-08-16,52
P001,2023-08-17,38
P001,2023-08-18,41
P001,2023-08-19,49
P001,2023-08-20,53
P001,2023-08-21,44
P001,2023-08-22,48
P001,2023-08-23,39
P001,2023-08-24,39
P001,2023-08-25,32
P001,2023-08-26,56
P001,2023-08-27,51
P001,2023-08-28,40
P001,2023-08-29,38
P001,2023-08-30,42
P001,2023-08-31,34
P001,2023-09-01,35
P001,2023-09-02,67
P001,2023-09-03,50
P001,2023-09-04,37
P001,2023-09-05,52
P001,2023-09-06,57
P001,2023-09-07,37
P001,2023-09-08,41
P001,2023-09-09,58
P001,2023-09-10,65
P001,2023-09-11,38
P001,2023-09-12,41
P001,2023-09-13,46
P001,2023-09-14,45
P001,2023-09-15,41
P001,2023-09-16,56
P001,2023-09-17,50
P001,2023-09-18,41
P001,2023-09-19,41
P001,2023-09-20,44
P001,2023-09-21,40
P001,2023-09-22,45
P001,2023-09-23,62
P001,2023-09-24,57
P001,2023-09-25,44
P001,2023-09-26,43
P001,2023-09-27,43
P001,2023-09-28,39
P001,2023-09-29,44
P001,2023-09-30,56
P001,2023-10-01,67
P001,2023-10-02,51
P001,2023-10-03,45
P001,2023-10-04,39
P001,2023-10-05,37
P001,2023-10-06,49
P001,2023-10-07,58
P001,2023-10-08,59
P001,2023-10-09,34
